Time,Moisture,Light,Temp
1/1/1970-0:3:43,1023,504,145
1/1/1970-0:3:49,1023,491,146
1/1/1970-0:3:55,1023,493,146
1/1/1970-0:4:1,1023,488,146
1/1/1970-0:4:7,1023,500,146
1/1/1970-0:4:13,1023,496,146
1/1/1970-0:4:19,1023,493,145
1/1/1970-0:4:25,1023,505,145
1/1/1970-0:4:31,1023,492,145
1/1/1970-0:4:37,1023,491,145
1/1/1970-0:4:43,1023,501,145
1/1/1970-0:4:49,1023,505,145
1/1/1970-0:4:55,1023,488,146
1/1/1970-0:5:1,1023,495,146
1/1/1970-0:5:7,1023,505,146
1/1/1970-0:5:13,1023,489,145
1/1/1970-0:5:19,1023,500,145
1/1/1970-0:5:25,1023,502,145
1/1/1970-0:5:31,1023,488,145
1/1/1970-0:5:37,1023,495,145
1/1/1970-0:5:43,1023,498,145
1/1/1970-0:5:49,1023,494,145
1/1/1970-0:5:55,1023,488,146
1/1/1970-0:6:1,1023,490,146
1/1/1970-0:6:7,1023,501,145
1/1/1970-0:6:13,1023,496,145
1/1/1970-0:6:19,1023,492,145
1/1/1970-0:6:25,1023,505,145
1/1/1970-0:6:31,1023,492,145
1/1/1970-0:6:37,1023,492,145
1/1/1970-0:6:43,1023,505,145
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1017,516,146
1/1/1970-0:0:6,1023,499,145
1/1/1970-0:0:12,1023,496,145
1/1/1970-0:0:18,1023,500,147
1/1/1970-0:0:24,1023,510,145
1/1/1970-0:0:30,1023,513,144
1/1/1970-0:0:36,1023,507,145
1/1/1970-0:0:42,1023,515,145
1/1/1970-0:0:48,1023,511,145
1/1/1970-0:0:54,1023,503,145
1/1/1970-0:1:0,1023,499,145
1/1/1970-0:1:6,1023,497,145
1/1/1970-0:1:12,1023,501,145
1/1/1970-0:1:18,1023,499,145
1/1/1970-0:1:24,1023,510,145
1/1/1970-0:1:30,1023,514,145
1/1/1970-0:1:36,1023,514,146
1/1/1970-0:1:42,1023,507,146
1/1/1970-0:1:48,1023,497,146
1/1/1970-0:1:54,1023,502,146
1/1/1970-0:2:0,1023,511,145
1/1/1970-0:2:6,1023,513,146
1/1/1970-0:2:12,1023,497,145
1/1/1970-0:2:18,1023,511,144
1/1/1970-0:2:24,1023,503,153
1/1/1970-0:2:30,1023,503,153
1/1/1970-0:2:36,1023,507,153
1/1/1970-0:2:42,1023,509,153
1/1/1970-0:2:48,1023,508,152
1/1/1970-0:2:54,1023,507,153
1/1/1970-0:3:0,1023,502,153
1/1/1970-0:3:6,1023,500,153
1/1/1970-0:3:12,1023,498,153
1/1/1970-0:3:18,1023,499,152
1/1/1970-0:3:24,1023,506,152
1/1/1970-0:3:31,1023,511,151
1/1/1970-0:3:37,1023,510,152
1/1/1970-0:3:43,1023,509,153
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1011,494,152
1/1/1970-0:0:6,1023,502,155
1/1/1970-0:0:12,1023,495,154
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1009,510,151
1/1/1970-0:0:6,1023,494,153
1/1/1970-0:0:12,1023,493,153
1/1/1970-0:0:18,1023,503,153
1/1/1970-0:0:24,1023,509,153
1/1/1970-0:0:30,1023,492,153
1/1/1970-0:0:36,1023,499,153
1/1/1970-0:0:42,1023,507,153
1/1/1970-0:0:48,1023,510,153
1/1/1970-0:0:54,1023,507,153
1/1/1970-0:1:0,1023,495,153
1/1/1970-0:1:6,1023,500,153
1/1/1970-0:1:12,1023,509,153
1/1/1970-0:1:18,1023,492,153
1/1/1970-0:1:24,1023,509,153
1/1/1970-0:1:30,1023,500,153
1/1/1970-0:1:36,1023,503,153
1/1/1970-0:1:42,1023,505,153
1/1/1970-0:1:48,1023,497,153
1/1/1970-0:1:54,1023,506,153
1/1/1970-0:2:0,1023,503,153
1/1/1970-0:2:6,1023,496,153
1/1/1970-0:2:12,1023,510,153
1/1/1970-0:2:18,1023,496,153
1/1/1970-0:2:24,1023,507,153
1/1/1970-0:2:30,1023,497,153
1/1/1970-0:2:36,1023,513,154
1/1/1970-0:2:42,1023,499,153
1/1/1970-0:2:48,1023,511,154
1/1/1970-0:2:54,1023,496,153
1/1/1970-0:3:0,1023,512,153
1/1/1970-0:3:6,1023,503,153
1/1/1970-0:3:12,1023,496,154
1/1/1970-0:3:18,1023,511,153
1/1/1970-0:3:24,1023,495,153
1/1/1970-0:3:30,1023,511,154
1/1/1970-0:3:36,1023,510,153
1/1/1970-0:3:42,1023,504,153
1/1/1970-0:3:48,1023,495,153
1/1/1970-0:3:54,1023,507,154
1/1/1970-0:4:0,1023,506,153
1/1/1970-0:4:6,1023,508,153
1/1/1970-0:4:12,1023,498,153
1/1/1970-0:4:19,1023,511,153
1/1/1970-0:4:25,1023,496,153
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1012,511,152
1/1/1970-0:0:6,1023,926,153
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1011,488,151
1/1/1970-0:0:6,1023,918,152
1/1/1970-0:0:12,1023,479,155
1/1/1970-0:0:18,1023,606,154
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1012,487,151
1/1/1970-0:0:6,1023,496,153
1/1/1970-0:0:12,1023,484,153
1/1/1970-0:0:18,1023,49,154
1/1/1970-0:0:24,1023,487,155
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1012,568,150
1/1/1970-0:0:6,1023,493,153
1/1/1970-0:0:12,1023,499,153
1/1/1970-0:0:18,1023,506,153
1/1/1970-0:0:24,1023,497,153
1/1/1970-0:0:30,1023,493,153
1/1/1970-0:0:36,1023,506,153
1/1/1970-0:0:42,1023,504,153
1/1/1970-0:0:48,1023,490,154
1/1/1970-0:0:54,1023,507,153
1/1/1970-0:1:0,1023,499,153
1/1/1970-0:1:6,1023,494,153
1/1/1970-0:1:12,1023,492,153
1/1/1970-0:1:18,1023,500,153
1/1/1970-0:1:24,1023,505,154
1/1/1970-0:1:30,1023,506,153
1/1/1970-0:1:36,1023,504,153
1/1/1970-0:1:42,1023,498,154
1/1/1970-0:1:48,1023,493,153
1/1/1970-0:1:54,1023,507,153
1/1/1970-0:2:0,1023,501,154
1/1/1970-0:2:6,1023,493,153
1/1/1970-0:2:12,1023,493,153
1/1/1970-0:2:18,1023,505,154
1/1/1970-0:2:24,1023,496,154
1/1/1970-0:2:30,1023,502,153
1/1/1970-0:2:36,1023,507,153
1/1/1970-0:2:42,1023,500,154
1/1/1970-0:2:48,1023,492,153
1/1/1970-0:2:54,1023,492,153
1/1/1970-0:3:0,1023,507,154
1/1/1970-0:3:6,1023,507,153
1/1/1970-0:3:12,1023,495,153
1/1/1970-0:3:18,1023,493,154
1/1/1970-0:3:24,1023,506,154
1/1/1970-0:3:30,1023,507,153
1/1/1970-0:3:36,1023,505,153
1/1/1970-0:3:42,1023,502,153
1/1/1970-0:3:48,1023,497,153
1/1/1970-0:3:54,1023,491,153
1/1/1970-0:4:0,1023,490,153
1/1/1970-0:4:6,1023,492,153
1/1/1970-0:4:13,1023,491,153
1/1/1970-0:4:19,1023,501,153
1/1/1970-0:4:25,1023,507,153
1/1/1970-0:4:31,1023,497,153
1/1/1970-0:4:37,1023,493,154
1/1/1970-0:4:43,1023,491,153
1/1/1970-0:4:49,1023,497,154
1/1/1970-0:4:55,1023,507,154
1/1/1970-0:5:1,1023,496,153
1/1/1970-0:5:7,1023,497,153
1/1/1970-0:5:13,1023,503,154
1/1/1970-0:5:19,1023,490,153
1/1/1970-0:5:25,1023,505,153
1/1/1970-0:5:31,1023,502,153
1/1/1970-0:5:37,1023,491,153
1/1/1970-0:5:43,1023,508,154
1/1/1970-0:5:49,1023,508,153
1/1/1970-0:5:55,1023,503,153
1/1/1970-0:6:1,1023,499,153
1/1/1970-0:6:7,1023,501,153
1/1/1970-0:6:13,1023,492,153
1/1/1970-0:6:19,1023,497,153
1/1/1970-0:6:25,1023,507,153
1/1/1970-0:6:31,1023,506,152
1/1/1970-0:6:37,1023,501,153
1/1/1970-0:6:43,1023,492,153
1/1/1970-0:6:49,1023,497,153
1/1/1970-0:6:55,1023,506,153
1/1/1970-0:7:1,1023,495,153
1/1/1970-0:7:7,1023,490,153
1/1/1970-0:7:13,1023,504,152
1/1/1970-0:7:19,1023,505,153
1/1/1970-0:7:25,1023,495,153
1/1/1970-0:7:31,1023,491,153
1/1/1970-0:7:37,1023,507,153
1/1/1970-0:7:43,1023,497,153
1/1/1970-0:7:49,1023,492,153
1/1/1970-0:7:55,1023,504,153
1/1/1970-0:8:1,1023,500,153
1/1/1970-0:8:7,1023,517,153
1/1/1970-0:8:13,1023,469,153
1/1/1970-0:8:19,1023,478,153
1/1/1970-0:8:25,1023,571,153
1/1/1970-0:8:32,1023,489,154
1/1/1970-0:8:38,1023,505,154
1/1/1970-0:8:44,1023,501,153
1/1/1970-0:8:50,1023,530,153
1/1/1970-0:8:56,1023,836,153
1/1/1970-0:9:2,1023,498,155
1/1/1970-0:9:8,1023,540,156
1/1/1970-0:9:14,1023,521,156
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1011,485,152
1/1/1970-0:0:6,1023,589,153
1/1/1970-0:0:12,1023,492,154
1/1/1970-0:0:18,1023,496,154
1/1/1970-0:0:24,1023,95,155
1/1/1970-0:0:30,1023,461,156
1/1/1970-0:0:36,1023,473,156
1/1/1970-0:0:42,1023,466,156
